0, 0.1, 39216.1219082, 1911.38102621, 213.14428091
1, 0.1, 10871.6465822, 1155.58219286, 215.321650982
2, 0.1, 6536.17726726, 938.753198534, 216.354912996
3, 0.1, 4275.74557462, 874.893701716, 213.235063076
4, 0.1, 3289.3274948, 885.802441446, 214.283036947
5, 0.1, 2797.63546043, 960.005767408, 210.718672037
6, 0.1, 2186.40018222, 940.500230879, 222.722997904
7, 0.1, 1773.62081274, 1054.60381467, 222.773962021
8, 0.1, 1463.1796964, 1000.56400604, 213.559678078
9, 0.1, 1242.5605882, 988.592754384, 217.39896512
10, 0.1, 1105.67642428, 1139.07463044, 211.565688848
11, 0.1, 928.091531745, 1193.46331863, 214.702945948
12, 0.1, 1072.83150665, 1117.80583508, 212.539448023
13, 0.1, 789.011136172, 1181.46685674, 212.429748058
14, 0.1, 810.589541633, 1105.06490444, 221.110863924
