0, 0.1, 39216.1219082, 1911.38102621, 198.459455967
1, 0.1, 10871.6465822, 1155.58219286, 201.59196496
2, 0.1, 6536.17726726, 938.753198534, 196.919857025
3, 0.1, 4275.74557462, 874.893701716, 203.093593836
4, 0.1, 3289.3274948, 885.802441446, 200.10434103
5, 0.1, 2797.63546043, 960.005767408, 207.623178959
6, 0.1, 2186.40018222, 940.500230879, 211.729882002
7, 0.1, 1773.62081274, 1054.60381467, 215.878020048
8, 0.1, 1463.1796964, 1000.56400604, 204.982789993
9, 0.1, 1242.5605882, 988.592754384, 207.206357002
10, 0.1, 1105.67642428, 1139.07463044, 207.265904903
11, 0.1, 928.091531745, 1193.46331863, 197.783952951
12, 0.1, 1072.83150665, 1117.80583508, 206.678427935
13, 0.1, 789.011136172, 1181.46685674, 200.844245911
14, 0.1, 810.589541633, 1105.06490444, 202.855500937
15, 0.05, 475.086953875, 1078.65096231, 198.571634054
16, 0.05, 259.439606417, 1114.61463624, 205.300632
17, 0.05, 271.601872899, 1086.17948551, 208.114014149
18, 0.05, 153.716027381, 1062.93622513, 201.352152824
19, 0.05, 222.317465896, 1079.68116978, 206.265775919
20, 0.025, 154.916613193, 1094.48970416, 207.801062822
21, 0.025, 142.828574937, 1055.98731392, 213.44600296
22, 0.025, 110.564665056, 1073.72556867, 214.610557079
23, 0.025, 110.481935769, 1115.71464991, 213.103399038
24, 0.025, 74.4465387232, 1129.04720055, 219.547055006
